Tid,Pris
2022-09-02 18:50:00,4.242
2022-09-02 18:55:00,4.257
2022-09-02 19:00:00,4.272
2022-09-02 19:05:00,4.265
2022-09-02 19:10:00,4.257
2022-09-02 19:15:00,4.25
2022-09-02 19:20:00,4.243
2022-09-02 19:25:00,4.236
2022-09-02 19:30:00,4.229
2022-09-02 19:35:00,4.222
2022-09-02 19:40:00,4.215
2022-09-02 19:45:00,4.208
2022-09-02 19:50:00,4.201
2022-09-02 19:55:00,4.193
2022-09-02 20:00:00,4.186
2022-09-02 20:05:00,4.087
2022-09-02 20:10:00,3.987
2022-09-02 20:15:00,3.887
2022-09-02 20:20:00,3.787
2022-09-02 20:25:00,3.688
2022-09-02 20:30:00,3.588
2022-09-02 20:35:00,3.488
2022-09-02 20:40:00,3.389
2022-09-02 20:45:00,3.289
2022-09-02 20:50:00,3.189
2022-09-02 20:55:00,3.089
2022-09-02 21:00:00,2.99
2022-09-02 21:05:00,2.953
2022-09-02 21:10:00,2.917
2022-09-02 21:15:00,2.88
2022-09-02 21:20:00,2.844
2022-09-02 21:25:00,2.808
2022-09-02 21:30:00,2.771
2022-09-02 21:35:00,2.735
2022-09-02 21:40:00,2.699
2022-09-02 21:45:00,2.662
2022-09-02 21:50:00,2.626
2022-09-02 21:55:00,2.589
2022-09-02 22:00:00,2.553
2022-09-02 22:05:00,2.47
2022-09-02 22:10:00,2.388
2022-09-02 22:15:00,2.305
2022-09-02 22:20:00,2.223
2022-09-02 22:25:00,2.14
2022-09-02 22:30:00,2.058
2022-09-02 22:35:00,1.975
2022-09-02 22:40:00,1.893
2022-09-02 22:45:00,1.81
2022-09-02 22:50:00,1.727
2022-09-02 22:55:00,1.645
2022-09-02 23:00:00,1.562
2022-09-02 23:05:00,1.575
2022-09-02 23:10:00,1.587
2022-09-02 23:15:00,1.6
2022-09-02 23:20:00,1.612
2022-09-02 23:25:00,1.625
2022-09-02 23:30:00,1.637
2022-09-02 23:35:00,1.65
2022-09-02 23:40:00,1.662
2022-09-02 23:45:00,1.674
2022-09-02 23:50:00,1.687
2022-09-02 23:55:00,1.699
2022-09-03 00:00:00,1.712
2022-09-03 00:05:00,1.721
2022-09-03 00:10:00,1.73
2022-09-03 00:15:00,1.739
2022-09-03 00:20:00,1.748
2022-09-03 00:25:00,1.758
2022-09-03 00:30:00,1.767
2022-09-03 00:35:00,1.776
2022-09-03 00:40:00,1.785
2022-09-03 00:45:00,1.794
2022-09-03 00:50:00,1.803
2022-09-03 00:55:00,1.813
2022-09-03 01:00:00,1.822
