,Image,Manufacturer,Model,Chip,Operating Frequency,Transmit Power,Motion Range,Presence Range,Detection Angle,Operating Voltage,Current,Inteface,Pins Spacing,Size(WxH),Capabilities,Price(USD),ESPHome Support,Availability
50,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-seed-studio-mr24hpb1.jpg,Seed Studio,MR24HPB1,,24GHz,10dBm,12m,5m,90×60°,4.5-6V,,,2.00mm,35x30mm,,,[Github](https://github.com/thefipster/esphome-mmwave-sensors),"[Seed Studio](https://www.seeedstudio.com/24GHz-mmWave-Radar-Sensor-Human-Static-Presence-Module-p-5267.html), [Amazon](https://amzn.to/3KUgTsV)"
51,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-seed-studio-mr24bsd1.jpg,Seed Studio,MR24BSD1,,24GHz,6dBm,2.75m,1.5m,40×40°,4.5-6V,,,/,45x26mm,,,/,"[Seed Studio](https://www.seeedstudio.com/24GHz-mmWave-Radar-Sensor-Sleep-Breathing-Monitoring-Module-p-5304.html), [Amazon](https://amzn.to/45zzW52)"
52,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-seed-studio-mr60bha1.jpg,Seed Studio,MR60BHA1,,60GHz,6dBm,0.5m,1.5m,20×20°,4.5-6V,,,/,35x30mm,,,[Github](https://github.com/thefipster/esphome-mmwave-sensors),[Seed Studio](https://www.seeedstudio.com/60GHz-mmWave-Radar-Sensor-Breathing-and-Heartbeat-Module-p-5305.html)
53,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-seed-studio-mr60fda1.jpg,Seed Studio,MR60FDA1,,60GHz,6dBm,6m,3m,60×60°,4.5-6V,,,/,35x30mm,,,[Github](https://github.com/DuncanIdahoCT/espresence-mr60fda1-mmwave-sensor),"[Seed Studio](https://www.seeedstudio.com/60GHz-mmWave-Radar-Sensor-Fall-Detection-Module-Pro-p-5375.html), [Amazon](https://amzn.to/3VycnFj)"
54,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-seed-studio-24GHz-XIAO.jpg,Seed Studio,24GHz XIAO,,24GHz,/,6m,4m,60×60°,5V,,,2.54mm,22x18mm,,,[Guide](https://wiki.seeedstudio.com/mmwave_for_xiao/),[Seed Studio](https://www.seeedstudio.com/Seeed-Studio-24GHz-mmWave-for-XIAO-p-5830.html)
55,,MountRuby,IFL2411A,SG24LTR12,24GHz,,,,60×60°,3.3v,50mA,,,,,,,
56,,Acconeer AB,XM125,A121,60GHz,11dBm,20m,20m,65x53°,1.8-3.3v,,,,,,,,
57,,Limpkin,CDM324,,24GHz,16dBm,15m,15m,,,,,,,,,,
58,,MinewSemi,MS72SF1,,60GHz,,0.5-8m,0.5-8m,,,,,,,,,,
59,,Texas Instruments,IWR1443BOOST,,IWR1443,12 dBm,,,,,,,,,,,,
60,,Texas Instruments,IWR1642BOOST,,IWR1642,12 dBm,,,,,,,,,,,,
61,,Texas Instruments,IWR6843ISK,,IWR6843,12 dBm,,,,,,,,,,,,
62,,Texas Instruments,AWR1843BOOST,,AWR1843,12 dBm,,,,,,,,,,,,
,,Texas Instruments,AWR2243BOOST,,AWR2243,12 dBm,,,,,,,,,,,,
,,Jorjin,MM5D91-00,,,,,,,,,,,,,,,
